domain,last_update_date,categories,total_votes
howtobloggings.com,1705017600,"{""Xcitium Verdict Cloud"": ""unknown"", ""Forcepoint ThreatSeeker"": ""newly registered websites""}","{""harmless"": 0, ""malicious"": 0}"
amravati.pw,1693501655,{},"{""harmless"": 0, ""malicious"": 0}"
hingoli.pw,1693501655,{},"{""harmless"": 0, ""malicious"": 0}"
latur.pw,1685005719,"{""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""information technology""}","{""harmless"": 0, ""malicious"": 0}"
darkwrath.org,1695168000,{},"{""harmless"": 0, ""malicious"": 0}"
gic-oman.com,1524319268,"{""Forcepoint ThreatSeeker"": ""real estate"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
buldhana.pw,1685005719,{},"{""harmless"": 0, ""malicious"": 0}"
oshibochki.ru,,"{""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
apsolution.al,,{},"{""harmless"": 0, ""malicious"": 0}"
internet-television.it,,{},"{""harmless"": 0, ""malicious"": 0}"
eduvoodoo.net,1700092800,{},"{""harmless"": 0, ""malicious"": 0}"
errors24.ru,,"{""Xcitium Verdict Cloud"": ""unknown"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
nashik.pw,1693501655,"{""Xcitium Verdict Cloud"": ""unknown""}","{""harmless"": 0, ""malicious"": 0}"
oshibkada.ru,,{},"{""harmless"": 0, ""malicious"": 0}"
hashtagquestions.org,1698855840,{},"{""harmless"": 0, ""malicious"": 0}"
open-kabinet.ru,,"{""Dr.Web"": ""not recommended site"", ""Forcepoint ThreatSeeker"": ""financial data and services"", ""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
oshibkamaster.ru,,"{""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
tigrena.com.ua,,{},"{""harmless"": 0, ""malicious"": 0}"
themytool.com,1662095487,"{""Forcepoint ThreatSeeker"": ""shopping"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
ottken.de,,{},"{""harmless"": 0, ""malicious"": 0}"
key112spb.ru,,"{""Xcitium Verdict Cloud"": ""finance & investment""}","{""harmless"": 0, ""malicious"": 0}"
foodbus.in,1691773704,"{""Comodo Valkyrie Verdict"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""information technology""}","{""harmless"": 0, ""malicious"": 0}"
storedirectory.in,1691773695,{},"{""harmless"": 0, ""malicious"": 0}"
turnierreife.at,,{},"{""harmless"": 0, ""malicious"": 0}"
webbedxp.com,1697960924,"{""Comodo Valkyrie Verdict"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""blogs and personal sites""}","{""harmless"": 0, ""malicious"": 0}"
academyofpsychology.com,1705017600,{},"{""harmless"": 0, ""malicious"": 0}"
wordexcele.ru,,{},"{""harmless"": 0, ""malicious"": 0}"
vvmail.mobi,1697134597,{},"{""harmless"": 0, ""malicious"": 0}"
pile-ca.com,1696496241,{},"{""harmless"": 0, ""malicious"": 0}"
touristpoint.in,1691773697,{},"{""harmless"": 0, ""malicious"": 0}"
snappy1.org,1663632000,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
questionsmeter.org,1700176870,{},"{""harmless"": 0, ""malicious"": 0}"
blackboardlogg.com,1666742400,"{""Forcepoint ThreatSeeker"": ""educational institutions"", ""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
geektekies.com,1705017600,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Xcitium Verdict Cloud"": ""unknown""}","{""harmless"": 0, ""malicious"": 0}"
thewebdirectory.net,1696526057,"{""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""information technology""}","{""harmless"": 0, ""malicious"": 0}"
all4dell.sk,,{},"{""harmless"": 0, ""malicious"": 0}"
parbhani.pw,1693501655,{},"{""harmless"": 0, ""malicious"": 0}"
fredrikfolkesson.com,1674374551,"{""BitDefender"": ""business"", ""Xcitium Verdict Cloud"": ""visual search""}","{""harmless"": 0, ""malicious"": 0}"
bsramasters.org,1683590400,{},"{""harmless"": 0, ""malicious"": 0}"
novakasa.it,,{},"{""harmless"": 0, ""malicious"": 0}"
techfond.in,1699684908,{},"{""harmless"": 0, ""malicious"": 0}"
cricketinfo.co.in,1691718850,{},"{""harmless"": 0, ""malicious"": 0}"
webdesignerdirectory.in,1692869202,"{""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
matib.fr,,{},"{""harmless"": 0, ""malicious"": 0}"
superwhat.org,1700176878,"{""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
notariaurbina.cl,,"{""BitDefender"": ""blogs"", ""Xcitium Verdict Cloud"": ""business"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
ladolcecollina.it,,"{""Forcepoint ThreatSeeker"": ""travel""}","{""harmless"": 0, ""malicious"": 0}"
